,counts.CD8T,counts.CD4T,counts.NK,counts.Bcell,counts.Mono,counts.Neu
GSM1051609_7800246188_R03C01,0.08782705740478798,0.17622398224150698,0.11197122141853301,0.0528587240468983,0.0465630273931195,0.523916431907845
GSM1051610_7800246188_R04C01,0.0762541900691895,0.120267525178892,0.17379928680425197,0.057691089814457995,0.0248248631178315,0.557043384195514
GSM1051611_7800246188_R05C01,0.0529060119780875,0.159851147241387,0.0203644835747225,0.0615970944016098,0.0741087125171661,0.637564221640238
GSM1051612_7800246188_R06C01,0.0241260552128951,0.0636548419597519,0.0799089004559193,0.0339202793284603,0.136411131117988,0.6580252691312071
GSM1051613_7800246188_R01C02,2.49720848934055e-19,0.0765663107070984,0.0311768269258676,0.0122321540086948,0.0989609448285861,0.7864929614497241
GSM1051614_7800246188_R02C02,0.0140478133745705,0.0379690048456178,0.0519909525843534,0.0240541932416481,0.0907057997606286,0.777023029174065
GSM1051615_7800246188_R04C02,0.0554058148771861,0.0450471516632352,0.0581392251999956,0.0366547973638676,0.0930165809526941,0.703521875520286
GSM1051616_7800246188_R05C02,0.15376039158954,0.012905774648215,0.104527532752998,0.0111262882486038,0.0596614434488795,0.6619497680603471
GSM1051617_7800246188_R06C02,0.0385206829587297,0.0890827520255696,0.00684011997371919,0.0184252108123571,0.0554218909235402,0.7900491847922642
GSM1051618_7796814016_R01C01,0.0438961712119736,0.12504336817508602,0.0457365183250955,0.0206254608271362,0.0757803316101565,0.6806960693027251
GSM1051619_7796814016_R03C01,0.00242710581125286,0.167200871226273,0.0669047750182265,0.0506802190358221,0.0372802524334462,0.665507975225566
GSM1051620_7796814016_R04C01,0.0499104299881882,0.13934643560502402,0.10541418457883,0.0250353269337218,0.0622724678855727,0.609446943712773
GSM1051621_7796814016_R05C01,0.0561642325008793,0.0953097978685675,0.051629139432322,0.053810294205507,0.0552734060300215,0.6830180146519029
GSM1051622_7796814016_R06C01,0.0333186740792463,0.18613369688938503,3.5057228397062997e-19,0.0516681656575239,0.0356556802360353,0.6815788911588979
GSM1051623_7796814016_R01C02,0.0321401153521712,0.111687630364362,0.0985791299088483,0.0565680257362894,0.0555005447030218,0.639266865210764
GSM1051624_7796814016_R02C02,0.0272101295923788,0.126177735943755,0.12212654105446301,0.038107951656838994,0.0541680198433525,0.6207003334180401
GSM1051625_7796814016_R03C02,0.0834437806364207,0.0200546321641581,0.116736190070275,0.0117643176557946,0.071512940867848,0.6992452058584251
